Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
2847,Copywriter,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2848,Copywriter,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2849,Copywriter,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2850,Copywriter,Oral communication,6,Intermediate,Give instructions to a lost driver
2851,Technical Writer,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
2852,Technical Writer,Writing,8,High,Write a legally binding contract for services provided by one business to another
2853,Technical Writer,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
2854,Technical Writer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
2855,Technical Writer,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2856,Technical Writer,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
2857,Technical Writer,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2858,Technical Writer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2859,Technical Writer,Oral communication,6,Intermediate,Give instructions to a lost driver
2860,Technical Writer,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
2861,Accountant (General),Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
2862,Accountant (General),Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2863,Accountant (General),Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
2864,Accountant (General),Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2865,Accountant (General),Teamwork,6,Intermediate,Initiate team problem solving sessions
2866,Accountant (General),Writing,6,Intermediate,Write a memo to staff outlining new directives
2867,Accountant (General),Reading,6,Intermediate,Read a memo from management describing new personnel policies
2868,Accountant (General),Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2869,Accountant (General),Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2870,Accountant (General),Oral communication,6,Intermediate,Give instructions to a lost driver
2871,Management Accountant,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
2872,Management Accountant,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
2873,Management Accountant,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
2874,Management Accountant,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
2875,Management Accountant,Teamwork,6,Intermediate,Initiate team problem solving sessions
2876,Management Accountant,Writing,6,Intermediate,Write a memo to staff outlining new directives
2877,Management Accountant,Reading,6,Intermediate,Read a memo from management describing new personnel policies
2878,Management Accountant,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
2879,Management Accountant,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
2880,Management Accountant,Oral communication,6,Intermediate,Give instructions to a lost driver
2881,Taxation Accountant,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
2882,Taxation Accountant,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
2883,Taxation Accountant,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
2884,Taxation Accountant,Writing,5,Intermediate,Prepare a standard operating procedures document
2885,Taxation Accountant,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
2886,Taxation Accountant,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
2887,Taxation Accountant,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
2888,Taxation Accountant,Oral communication,6,Intermediate,Give instructions to a lost driver
2889,Taxation Accountant,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
2890,Taxation Accountant,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
2891,Corporate Treasurer,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
